image_id,crop,disease_class,is_healthy,width_px,height_px,file_size_kb,is_corrupted,is_duplicate,has_wrong_label,is_low_resolution,split
Tomato___Septoria_leaf_spot_00166.jpg,Tomato,Tomato___Septoria_leaf_spot,False,224,224,143.6,False,False,False,False,train
Grape___Leaf_blight_00889.jpg,Grape,Grape___Leaf_blight,False,224,224,241.7,False,False,False,False,train
Squash___Powdery_mildew_01439.jpg,Squash,Squash___Powdery_mildew,False,224,224,45.1,False,False,False,False,train
Tomato___Leaf_Mold_00250.jpg,Tomato,Tomato___Leaf_Mold,False,224,224,206.6,False,False,False,False,train
Tomato___Tomato_mosaic_virus_00168.jpg,Tomato,Tomato___Tomato_mosaic_virus,False,224,224,99.9,False,False,False,False,train
Apple___Cedar_apple_rust_00049.jpg,Apple,Apple___Cedar_apple_rust,False,224,224,135.9,False,False,False,False,train
Squash___Powdery_mildew_00999.jpg,Squash,Squash___Powdery_mildew,False,224,224,33.3,False,False,False,False,train
Corn___Cercospora_leaf_spot_00478.jpg,Corn,Corn___Cercospora_leaf_spot,False,224,224,207.6,False,False,False,False,test
Tomato___Target_Spot_00892.jpg,Tomato,Tomato___Target_Spot,False,224,224,200.9,False,False,False,False,train
Orange___Haunglongbing_01329.jpg,Orange,Orange___Haunglongbing,False,224,224,179.6,False,False,False,False,train
Grape___Black_rot_00215.jpg,Grape,Grape___Black_rot,False,224,224,123.8,False,False,False,False,train
Soybean___healthy_00260.jpg,Soybean,Soybean___healthy,True,224,224,115.9,False,False,False,False,train
Tomato___healthy_00226.jpg,Tomato,Tomato___healthy,True,224,224,147.2,False,False,False,False,train
Strawberry___Leaf_scorch_00324.jpg,Strawberry,Strawberry___Leaf_scorch,False,224,224,148.3,False,False,False,False,train
Strawberry___Leaf_scorch_00786.jpg,Strawberry,Strawberry___Leaf_scorch,False,224,224,80.3,False,False,False,False,train
Tomato___healthy_00602.jpg,Tomato,Tomato___healthy,True,224,224,190.3,False,False,False,False,train
Blueberry___healthy_00916.jpg,Blueberry,Blueberry___healthy,True,224,224,220.6,False,False,False,False,test
Pepper___Bacterial_spot_00945.jpg,Pepper,Pepper___Bacterial_spot,False,224,224,186.5,False,False,False,False,train
Squash___Powdery_mildew_01362.jpg,Squash,Squash___Powdery_mildew,False,224,224,35.0,False,False,False,False,train
Grape___Black_rot_00020.jpg,Grape,Grape___Black_rot,False,224,224,130.7,False,False,False,False,validation
Corn___Cercospora_leaf_spot_00290.jpg,Corn,Corn___Cercospora_leaf_spot,False,224,224,226.2,False,False,False,False,train
Squash___Powdery_mildew_01740.jpg,Squash,Squash___Powdery_mildew,False,224,224,180.6,False,False,False,False,train
Pepper___Bacterial_spot_00256.jpg,Pepper,Pepper___Bacterial_spot,False,224,224,247.2,False,False,False,False,train
Blueberry___healthy_00718.jpg,Blueberry,Blueberry___healthy,True,224,224,56.9,False,False,False,False,train
Tomato___Bacterial_spot_00351.jpg,Tomato,Tomato___Bacterial_spot,False,224,224,206.9,False,False,False,False,validation
Potato___Early_blight_00618.jpg,Potato,Potato___Early_blight,False,224,224,56.2,False,False,False,False,validation
Corn___Common_rust_01116.jpg,Corn,Corn___Common_rust,False,224,224,229.6,False,False,False,False,train
Squash___Powdery_mildew_01563.jpg,Squash,Squash___Powdery_mildew,False,224,224,165.0,False,False,False,False,train
Orange___Haunglongbing_03543.jpg,Orange,Orange___Haunglongbing,False,224,224,196.0,False,False,False,False,test
Squash___Powdery_mildew_00922.jpg,Squash,Squash___Powdery_mildew,False,224,224,187.8,False,False,False,False,validation
Tomato___Spider_mites_01090.jpg,Tomato,Tomato___Spider_mites,False,224,224,100.7,False,False,False,False,validation
Pepper___healthy_00063.jpg,Pepper,Pepper___healthy,True,224,224,190.4,False,False,False,False,train
Tomato___Bacterial_spot_01849.jpg,Tomato,Tomato___Bacterial_spot,False,224,224,110.2,False,False,False,False,train
Tomato___Tomato_Yellow_Leaf_Curl_Virus_00933.jpg,Tomato,Tomato___Tomato_Yellow_Leaf_Curl_Virus,False,224,224,134.1,False,False,False,False,validation
Soybean___healthy_01595.jpg,Soybean,Soybean___healthy,True,224,224,235.6,False,False,False,False,train
Tomato___Late_blight_01464.jpg,Tomato,Tomato___Late_blight,False,224,224,54.0,False,False,False,False,validation
Orange___Haunglongbing_00784.jpg,Orange,Orange___Haunglongbing,False,224,224,203.8,False,False,False,False,train
Blueberry___healthy_01311.jpg,Blueberry,Blueberry___healthy,True,224,224,185.9,False,False,False,False,train
Tomato___Tomato_mosaic_virus_00048.jpg,Tomato,Tomato___Tomato_mosaic_virus,False,224,224,54.3,False,False,False,False,train
